"country"	"GEI_Schmitt"	"HDI_Schmitt"	"GDP_Schmitt"	"gini_Schmitt"	"GEI_Giolla"	"HDI_Giolla"	"GDP_Giolla"	"gini_Giolla"	"GEI_Lee"	"HDI_Lee"	"GDP_Lee"	"gini_Lee"	"GEI_ESS"	"HDI_ESS"	"GDP_ESS"	"gini_ESS"	"GEI_Falk"	"HDI_Falk"	"GDP_Falk"	"gini_Falk"	"GEI_Stoet"	"HDI_Stoet"	"GDP_Stoet"	"gini_Stoet"	"GEI_Vishkin"	"HDI_Vishkin"	"GDP_Vishkin"	"gini_Vishkin"	"GEI_Asperholm"	"HDI_Asperholm"	"GDP_Asperholm"	"gini_Asperholm"	"GEI_Bleidorn"	"HDI_Bleidorn"	"GDP_Bleidorn"	"gini_Bleidorn"	"GEI_Buss"	"HDI_Buss"	"GDP_Buss"	"gini_Buss"	"GEI_ElseQuest"	"HDI_ElseQuest"	"GDP_ElseQuest"	"gini_ElseQuest"	"GEI_Homicide"	"HDI_Homicide"	"GDP_Homicide"	"gini_Homicide"	"GEI_Maes"	"HDI_Maes"	"GDP_Maes"	"gini_Maes"	"GEI_Randler"	"HDI_Randler"	"GDP_Randler"	"gini_Randler"	"GEI_Schmitt_new"	"HDI_Schmitt_new"	"GDP_Schmitt_new"	"gini_Schmitt_new"	"GEI_Silverman"	"HDI_Silverman"	"GDP_Silverman"	"gini_Silverman"	"GEI_Stoet_new"	"HDI_Stoet_new"	"GDP_Stoet_new"	"gini_Stoet_new"	"GEI_Breda"	"HDI_Breda"	"GDP_Breda"	"gini_Breda"	"GEI_WVSB5"	"HDI_WVSB5"	"GDP_WVSB5"	"gini_WVSB5"	"GEI_GPIPP"	"HDI_GPIPP"	"GDP_GPIPP"	"gini_GPIPP"
"Slovenia"	0.901	0.858	17803.3779818988	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.87	0.887	20428.1698595221	24.8	NA	NA	NA	NA	0.78	0.903	20890.1664304173	25.4	0.063	0.921	24125.3920363107	24.4	0.8	0.856363636363636	23439	24.9384615384615	0.88904347826087	0.877869565217391	19936.2567405363	24.7882352941176	NA	NA	NA	NA	0.582	0.858	17803.3779818988	NA	0.934625	0.909875	21988.6366714275	24.9125	NA	NA	NA	NA	NA	NA	NA	NA	0.574	0.874	15977	NA	0.875	0.865	18567.5622059245	24.8	0.69	0.8633	19046.9377590817	24.45	0.71	0.891	20157.0052544663	25.6	NA	NA	NA	NA	0.88904347826087	0.877869565217391	19936.2567405363	24.7882352941176
"Spain"	0.922	0.837	25310.4563874129	31.8	NA	NA	NA	NA	0.42	0.8932	26406.1971986022	35.5	0.888	0.861	25778.9564650653	34.9	0.7	0.858	25963.5483446492	34.05	0.74	0.889	25754.36102944	36.2	0.07	0.908	28087.8979203438	34.3	0.56	0.833962962962963	31832	34.66	0.896	0.863173913043478	25538.2865075586	34.5666666666667	0.812	0.757	18969.8086426392	NA	0.709	0.837	25310.4563874129	31.8	0.931375	0.894125	26159.1623581423	35.3625	0.872925925925926	0.833962962962963	23618.3280200397	34.66	0.877206896551724	0.838448275862069	23885.3128877864	34.68	0.688	0.908	18079	NA	0.877	0.844	25654.3365515924	33.3	0.73	0.8455	25756.6991538081	33.5375	0.73	0.874	24634.9620884239	35.4	NA	NA	NA	NA	0.896	0.863173913043478	25538.2865075586	34.5666666666667
"Antigua and Barbuda"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.79275	15478.7853819267	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Argentina"	0.854	0.793	9581.96979219468	50.9	NA	NA	NA	NA	-0.03	0.8484	13483.5310387552	41.5	NA	NA	NA	NA	0.51	0.8194	12306.6714599894	45.56	NA	NA	NA	NA	0.328	0.852	12716.2242038544	42.9	0.19	0.792074074074074	6640	46.3678571428571	0.632478260869565	0.819826086956522	12197.5746753143	45.7454545454545	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.842	12277	53.3	0.609	0.798	10341.6434058805	48.4	0.72	0.8024	11107.816693036	48.63	0.72	0.843	13895.6337072986	41.3	NA	NA	NA	NA	0.632478260869565	0.819826086956522	12197.5746753143	45.7454545454545
"Aruba"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28944.4411841528	NA
"Bahamas"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.341	0.816	29760.3414026944	NA	NA	NA	NA	NA	0.637434782608696	0.81104347826087	30658.261978728	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.65075	0.82025	28856.2593765624	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.637434782608696	0.81104347826087	30658.261978728	NA
"Barbados"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.252	0.799	17168.1456868491	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.677	0.792625	16791.7879736439	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.658173913043478	0.779478260869565	17007.7375099269	NA
"Belize"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.540652173913044	0.683565217391304	5893.19483509319	54.1
"Bolivia"	0.679	0.627	2048.55981761044	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.58	0.6485	2325.44314290861	52.175	NA	NA	NA	NA	0.417	0.717	3242.94884532224	41.6	NA	NA	NA	NA	0.506727272727273	0.662260869565217	2502.65663447736	50.675	NA	NA	NA	NA	NA	NA	NA	NA	0.564875	0.69875	3026.05595223505	44.9625	NA	NA	NA	NA	NA	NA	NA	NA	0.425	0.648	2355	57.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.506727272727273	0.662260869565217	2502.65663447736	50.675
"Brazil"	0.786	0.688	6865.17246062095	57.6	NA	NA	NA	NA	-0.68	0.757	8683.66397626823	52.88	NA	NA	NA	NA	0.48	0.7097	7982.21339645651	54.9888888888889	0.69	0.753	8783.21441310718	51.9	0.408	0.766	8592.21021838819	53.5	0.5	0.688074074074074	5260	57.0375	0.543217391304348	0.719565217391304	7949.30450532568	54.7380952380952	0.419	0.61	6086.07685266122	63.3	0.49	0.688	6865.17246062095	57.6	NA	NA	NA	NA	NA	NA	NA	NA	0.512655172413793	0.693137931034483	7457.60498133308	56.6586206896552	NA	0.75	7037	58.4	0.529	0.692	7178.34665928002	56.5	0.67	0.6971	7355.2080273252	56.1222222222222	0.69	0.732	9025.31295783324	53.4	0.5562	0.7374	9006.81530373006	52.75	0.543217391304348	0.719565217391304	7949.30450532568	54.7380952380952
"Chile"	0.846	0.779	9227.91233833199	51.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	0.8036	11097.4052790121	47.95	0.7	0.846	13569.9481274733	44.4	0.247	0.861	13761.3744735648	NA	NA	NA	NA	NA	0.655782608695652	0.810478260869565	11379.6849998076	47.96	NA	NA	NA	NA	0.467	0.779	9227.91233833199	51.5	0.741875	0.849375	13497.4414177975	44.875	NA	NA	NA	NA	0.606758620689655	0.783344827586207	9964.43874131182	51.0142857142857	NA	NA	NA	NA	NA	NA	NA	NA	0.68	0.7888	9997.94264004455	49.65	0.67	0.824	13017.067839762	NA	NA	NA	NA	NA	0.655782608695652	0.810478260869565	11379.6849998076	47.96
"Colombia"	NA	NA	NA	NA	NA	NA	NA	NA	-0.39	0.7574	6245.73922770148	50.86	NA	NA	NA	NA	0.46	0.7095	4898.73192846978	54.1	0.73	0.754	6228.65162186096	51	0.428	0.768	6404.10876575124	51.3	NA	NA	NA	NA	0.546894736842105	0.716652173913043	5155.667202316	53.77	NA	0.61	3695.80580378602	NA	NA	NA	NA	NA	0.580875	0.757125	6173.19450744526	51.4625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.69	0.6905	4465.58081760961	55.5375	0.69	0.734	5667.49875072853	52.6	0.5554	0.7378	5679.03640283133	53.18	0.546894736842105	0.716652173913043	5155.667202316	53.77
"Costa Rica"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.48	0.7576	9482.20503523672	48.82	0.73	0.798	11529.9551735671	48.4	0.288	0.819	12662.4228541585	48.2	NA	NA	NA	NA	0.681380952380952	0.764260869565217	9916.02374484769	48.7347826086956	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.71	0.7383	8671.12883179588	49.37	0.72	0.786	10832.7567622937	48.4	NA	NA	NA	NA	0.681380952380952	0.764260869565217	9916.02374484769	48.7347826086956
"Cuba"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.304	0.788	8042.94852386634	NA	-0.11	0.722444444444444	5386	NA	0.679882352941176	0.752043478260869	6152.14477034671	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.679882352941176	0.752043478260869	6152.14477034671	NA
"Dominica"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.71025	7604.84938762245	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Dominican Republic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.455	0.771	8205.14257811769	41.9	0.57	0.662814814814815	4997	48.7863636363636	0.515217391304348	0.701391304347826	5651.325459141	47.3666666666667	NA	NA	NA	NA	NA	NA	NA	NA	0.536875	0.749625	7222.03762204199	43.7875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.515217391304348	0.701391304347826	5651.325459141	47.3666666666667
"Ecuador"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.384	0.76	5863.91056629908	45.7	NA	NA	NA	NA	0.559217391304348	0.728826086956522	5259.74526220066	49.315	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5826	0.749	5832.85112259117	46.54	0.559217391304348	0.728826086956522	5259.74526220066	49.315
"El Salvador"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.383	0.683	4105.64616821665	38.8	NA	NA	NA	NA	0.58595652173913	0.650086956521739	3414.93637248825	45.4772727272727	NA	NA	NA	NA	NA	NA	NA	NA	0.629	0.672625	3842.76741285011	40.1428571428571	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.58595652173913	0.650086956521739	3414.93637248825	45.4772727272727
"Grenada"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.79225	8468.8453664122	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Guatemala"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.32	0.591	3507.26412457278	54.6	NA	NA	NA	NA	0.479	0.642	4263.70844366435	NA	NA	NA	NA	NA	0.452391304347826	0.597608695652174	3624.02188756433	52.3666666666667	NA	NA	NA	NA	NA	NA	NA	NA	0.486625	0.6365	4047.07078096439	48.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.452391304347826	0.597608695652174	3624.02188756433	52.3666666666667
"Guyana"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.462	0.708	6348.69808969246	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.567666666666667	0.69425	6301.82276972781	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.567666666666667	0.644826086956522	4970.04074731215	45.1
"Haiti"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.4917	1331.29853803616	41.1	NA	NA	NA	NA	0.636	0.543	1387.51491315309	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.3794	0.5016	1363.84926848298	41.1	0.3785	0.501347826086956	1352.60781547888	41.1
"Honduras"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.423	0.632	2446.10809655856	48.2	NA	NA	NA	NA	0.523304347826087	0.58895652173913	2067.68235377153	53.5333333333333	NA	NA	NA	NA	NA	NA	NA	NA	0.572875	0.615875	2299.56597645823	49.3428571428571	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.523304347826087	0.58895652173913	2067.68235377153	53.5333333333333
"Jamaica"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.396	0.719	5307.51104103109	NA	NA	NA	NA	NA	0.578434782608696	0.696869565217391	5117.03432018739	45.9666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.578434782608696	0.696869565217391	5117.03432018739	45.9666666666667
"Mexico"	0.804	0.725	8641.73975883169	NA	0.650466666666667	0.745333333333333	9107.22088543751	48.6666666666667	-0.54	0.7712	9864.39007707983	47.7	NA	NA	NA	NA	0.42	0.742	9046.18474451956	49.1333333333333	0.7	0.768	9753.40056232226	NA	0.322	0.779	10013.7242540995	NA	-0.39	0.718555555555556	9730	50.3466666666667	0.587521739130435	0.743869565217391	9216.4492516634	49.0538461538462	NA	NA	NA	NA	0.516	0.725	8641.73975883169	NA	0.628	0.768875	9735.92043040272	47.125	NA	NA	NA	NA	NA	NA	NA	NA	0.507	0.79	8297	NA	0.567	0.73	8849.52924875646	50	0.64	0.7302	8924.21292295186	50.2666666666667	0.67	0.76	9401.99768371815	48.7	NA	NA	NA	NA	0.587521739130435	0.743869565217391	9216.4492516634	49.0538461538462
"Miranda_Venezuela"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.69	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Netherlands Antilles"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Nicaragua"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.49	0.6016	1641.72252598938	46.35	NA	NA	NA	NA	0.428	0.664	1965.2779064393	NA	NA	NA	NA	NA	0.518478260869565	0.610652173913044	1717.67181418867	49.24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.518478260869565	0.610652173913044	1717.67181418867	49.24
"Panama"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.407	0.817	15166.880907114	49.8	NA	NA	NA	NA	0.546913043478261	0.767652173913043	10391.1132851082	53.0090909090909	NA	NA	NA	NA	NA	NA	NA	NA	0.583625	0.804	13837.1803129882	50.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.71	0.7462	8081.76809502725	54.55	NA	NA	NA	NA	NA	NA	NA	NA	0.546913043478261	0.767652173913043	10391.1132851082	53.0090909090909
"Papua New Guinea"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.725	0.56	2590.49423611278	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Paraguay"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.446	0.732	6229.21196026985	45.7	NA	NA	NA	NA	0.509565217391304	0.68695652173913	4997.50588160988	50.4571428571429	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.509565217391304	0.68695652173913	4997.50588160988	50.4571428571429
"Peru"	0.745	0.684	3497.35764900126	53.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.46	0.7069	4525.31945527621	48.29	0.68	0.759	6180.11879937394	43.4	0.395	0.78	6550.44751849538	41.6	-0.08	0.687888888888889	4245	48.705	0.573695652173913	0.720347826086957	4845.98652236685	47.4739130434783	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.532413793103448	0.693758620689655	4224.54448904563	48.1727272727273	0.516	0.743	4622	51.3	NA	NA	NA	NA	0.7	0.6915	3891.61825571354	50.23	0.67	0.742	5701.60388819626	44.4	NA	NA	NA	NA	0.573695652173913	0.720347826086957	4845.98652236685	47.4739130434783
"Puerto Rico"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	29763.4883013861	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28653.0828798853	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28653.0828798853	NA
"Saint Kitts and Nevis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.7765	20296.5670739027	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Saint Lucia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.401	0.735	11060.6888935619	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.642	0.73725	10366.9509598103	51.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.617826086956522	0.720913043478261	9939.86829845529	51.2
"Suriname"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.37	0.706333333333333	8002.08178963104	NA	NA	NA	NA	NA	0.436	0.755	8756.15515409007	NA	NA	NA	NA	NA	0.531294117647059	0.724764705882353	7836.65152321198	57.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.531294117647059	0.724764705882353	7836.65152321198	57.9
"Trinidad and Tobago"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.72	0.816	18389.5310289802	NA	0.323	0.821	15576.4345951869	NA	NA	NA	NA	NA	0.669304347826087	0.774782608695652	14852.4578995466	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.72	0.7516	13836.6466617708	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.669304347826087	0.774782608695652	14852.4578995466	NA
"Uruguay"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.68	0.811	16950.7533762432	40.1	0.288	0.821	17563.2081528684	39.7	NA	NA	NA	NA	0.667608695652174	0.785521739130435	13802.6124583801	41.9333333333333	NA	NA	NA	NA	0.516	0.77	9792.1634533124	NA	0.714375	0.814875	17055.0988688192	39.9375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.69	0.7678	11260.9676407436	45.725	0.67	0.798	15780.2646320776	39.9	NA	NA	NA	NA	0.667608695652174	0.785521739130435	13802.6124583801	41.9333333333333
"Venezuela"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.41	0.7398	NA	47.475	NA	NA	NA	NA	0.479	0.721	NA	NA	0.49	0.714925925925926	11225	48.0076923076923	0.499869565217391	0.730608695652174	NA	47.75	0.43	0.659	NA	43.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.499869565217391	0.730608695652174	NA	47.75
"Armenia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.245	0.778	4561.96780299386	30	NA	NA	NA	NA	0.650173913043478	0.727130434782609	2821.36758158827	31.9095238095238	NA	NA	NA	NA	NA	0.686	1815.78822609055	33	0.73075	0.766125	3914.56253729761	31.2625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.650173913043478	0.727130434782609	2821.36758158827	31.9095238095238
"Belarus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.118	0.817	6267.76579524677	25.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.851	0.772565217391304	4755.7532008283	27.8
"Bosnia Herzegovina"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.7111	3623.99499236065	33.3666666666667	NA	NA	NA	NA	0.149	0.783	5558.08255264153	NA	NA	NA	NA	NA	0.7827	0.727380952380952	3833.76956345969	32.525	NA	NA	NA	NA	NA	NA	NA	NA	0.840125	0.76875	4957.61383172889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.7827	0.727380952380952	3833.76956345969	32.525
